200. Research and Teaching in Computer Science and Engineering (3 credits). F,"Basic teaching techniques for teaching assistants including responsibilities and rights of teaching assistants, resource materials, computer security, leading discussion or lab sessions, presentation techniques, maintaining class records, electronic handling of homework, and grading. Examines research and professional training, including use of the library and online databases, technical typesetting, writing journal and conference papers, publishing in computer science and computer engineering, giving talks in seminars and conferences, and ethical issues in science and engineering. Required for all T.A.s. Enrollment is restricted to graduate students. K. Obraczka "
"202. Computer Architecture. W,S","Provides a thorough and fundamental treatment of the art of computer architecture. Topics include concepts of von Neumann architectures, methods of evaluating CPU performance, instruction-set design and examples, compiler issues, instruction pipelining, superscalar processors, methods for reduction of branch penalty, memory hierarchies, I/O systems, floating-point arithmetic, and current issues in parallel processing. Prerequisite(s): course 110 or 112. Enrollment is restricted to graduate students; undergraduates may enroll if they have completed course 110 or 112 and with consent of instructor. Enrollment limited to 30. J. Renau Ardevol, The Staff"
215. Models of Robotic Manipulation. S,"Theory and application of mathematical models to analyze, design, and program serial kinematic chains (robot arms). Covers models of arbitrary articulated robotic or biological arms and their application to realistic arms and tasks, including the homogeneous coordinate model of positioning tasks; the forward and inverse kinematic models; the Jacobian matrix; trajectory generation;and dynamic models, including Newton-Euler and Lagrangian formulations. Enrollment is restricted to graduate students; and to seniors who have taken electrical engineering 154, and applied mathematics and statistics 10 or 10A or mathematics 21; or by permission of instructor. M. Wehner, M. Teodorescu"
216. Bio-Inspired Locomotion. F,"Presents the principles of biological locomotion and application to robotics problems. Students learn about effective movements in the biological world (slithering, walking, climbing, and flying); extract their underlying principles; and apply them creatively to robotics design. Prerequisite(s): course 9 or equivalent. Enrollment is restricted to graduate students, and seniors by permission of instructor. Enrollment limited to 20. M. Teodorescu "
"218. Mechatronics. F,S","Introduction to intelligent electro-mechanical systems, combining aspects of computer, electrical, mechanical, and software engineering. Students become proficient in all aspects of mechanical, electrical, computer system design, analysis, prototyping, presentation and team mentorship. Cannot receive credit for this course and course 118. Prerequisite(s): concurrent enrollment in course 218L. Enrollment is restricted to graduate students. Enrollment limited to 36. G. Elkaim, M. Wehner, M. Dunne"
"218L. Mechatronics Lab (2 credits). F,S","Laboratory sequence illustrating topics covered in course 218. Two 2-hour laboratory sessions per week. Students cannot receive credit for this course and course 118L. Students are billed a materials fee. Prerequisite(s): concurrent enrollment in course 218. Enrollment is restricted to graduate students. Enrollment limited to 36. G. Elkaim, M. Wehner, M. Dunne"
220. Advanced Parallel Processing. F,"Introduction to programming advanced parallel computer architecture. Topics may include: SIMD massively parallel processor arrays; streaming parallel coprocessors, such as graphics cards used for general-purpose processing (GPGPU); or other hybrid MIMD/SIMD architectures. Course has programming lab component, a project, and student presentation on related topics. (Formerly Parallel Processing.) Enrollment is restricted to graduate students; undergraduates may enroll with permission of instructor. H. Litz, J. Renau Ardevol"
221. Advanced Microprocessor Design. *,"Introduction to latest advances in computer architecture. Focuses on processor core design. Topics include simultaneous multithreading, thread level speculation, trace caches, novel out-of-order mechanisms, and energy-efficient processor core designs. Final project is modification/enhancement of an out-of-order processor on an FPGA development system. Prerequisite(s): course 202; and course 125, 225, or equivalent Verilog experience. Concurrent enrollment in course 221L is required. Enrollment restricted to graduate students. Enrollment limited to 20. J. Renau Ardevol "
221L. Advanced Microprocessor Design Laboratory (3 credits). *,"Laboratory sequence illustrating topics covered in course 221. Prerequisite(s): course 202; and course 125, 225, or equivalent Verilog experience. Concurrent enrollment in course 221 is required. Enrollment restricted to graduate students. Enrollment limited to 20. J. Renau Ardevol "
222. VLSI Digital System Design. W,"Advanced Very Large Scale Integrated (VLSI) custom integrated circuits. Topics include: semiconductors; field-effect transistors (FETs); circuits; and interconnect simulation, along with advanced material on manufacturability, variability, short-channel devices, and non-volatile memories. Students cannot receive credit for this course and course 122. (Formerly VLSI Digital System Design.) Prerequisite(s): course 122 or equivalent. Enrollment limited to 15. M. Guthaus "
223. VLSI System-on-a-Chip Design. S,Design methodologies for Application Specific Integrated Circuits (ASICs). Topics include: behavioral specification; logic synthesis; standard-cell libraries; advanced timing analysis; and physical design automation tools. Familiarizes students with real-world tools during the design of a small system-on-a-chip project. Students are encouraged to fabricate and test their chips in an independent study. Prerequisite(s): course 222 or permission of instructor. Enrollment is restricted to graduate students. M. Guthaus 
224. Testing Digital Circuits. *,"An introduction to the theory and practice of testing. Topics are chosen from fault and defect models, test generation for combinational and sequential circuits, fault simulation, scan-design and built-in self-test. Enrollment is restricted to graduate students; undergraduates may enroll if they have completed Computer Science 101. The Staff "
225. Introduction to ASIC Systems Design. *,Introduces reconfigurable computing systems with emphasis on field-programmable devices. Topics include: architectures of field-programmable devices; novel reconfigurable systems; and hardware algorithms. Students are billed a materials fee. Enrollment is restricted to computer engineering graduate students. Enrollment limited to 10. The Staff 
229. Field-Programmable Gate Arrays Computer-Assisted Design. *,"Design methods for Field-Programmable Gate Arrays (FGPAs), including algorithms for technology mapping, routability estimation, placement, and routing. The relationship between FPGA architectures and their computer-aided design tools. Course project involves the modification and analysis of an FPGA tool. Enrollment is restricted to graduate students or by consent of instructor. Courses 100, 125, 126, 222, 225, or other digital design experience recommended. Enrollment limited to 20. M. Schlag "
230. Computer Performance Evaluation. *,"Introduction to methods of analysis of computer system performance. Predictive performance models with emphasis on queuing models; exact and appropriate solution methods, discrete-event simulation, and numeric iterative approaches; analytical solutions and their computation; separable queuing networks, decomposition approaches; examples of practical application; and performance measurement, model validation, robustness of models, and operational analysis. Enrollment is restricted to graduate students. Enrollment limited to 20. The Staff "
231. Human-Computer Interaction. *,"Theory and hands-on practice to understand what makes user interfaces usable and accessible to diverse individuals. Covers human senses and memory and their design implications, requirement solicitation, user-centered design and prototyping techniques, and expert and user evaluations. Individual research project. Interdisciplinary course for art, social science and engineering graduate students. Students cannot receive credit for this course and course 131. (Also offered as Digital Arts and New Media 231. Students cannot receive credit for both courses.) Enrollment is restricted to graduate students. The Staff "
232. Arithmetic Processors. *,"Concept of number systems: binary additions, multiplications, divisions; elementary function evaluations; algorithm acceleration; floating-point and significant arithmetics; IEEE standards; technology related issues; algorithm evaluation by implementation with gate arrays. Prerequisite(s): course 202. Enrollment is restricted to graduate students. Enrollment limited to 15. The Staff "
233. Human Factors. *,"Course focuses on theories, practices, and design of systems to optimize human well-being and system performance through consideration of psychological, social, physical, and biological factors. Covers human sensory systems and memory, workload management, error and reliability, performance measurement, and ergonomic design. Interdisciplinary course for social science and engineering graduate students. Enrollment is restricted to graduate students; undergraduates may enroll if they have completed course 131. The Staff "
