"100. Logic Design. F,W,S","Boolean algebra, logic minimization, finite-state machine design, sequential circuits, common logic elements, programmable logic devices, and an introduction to system level design. The electrical behavior of circuits including three state outputs, propagation delay, logic levels, and fanout. Prerequisite(s): courses 12 and 12L; previous or concurrent enrollment in course 100L is required. Enrollment limited to 60. M. Schlag, The Staff"
"100L. Logic Design Laboratory (2 credits). F,W,S","Laboratory sequence illustrating topics covered in course 100. Two 2-hour laboratory sessions per week. Weekly laboratory assignments which require the use of the oscilloscopes, TTL circuits, computer-aided design and simulation tools, and programmable logic. Students are billed a materials fee. Prerequisite(s): courses 12 and 12L; previous or concurrent enrollment in course 100 is required. Enrollment limited to 60. M. Schlag, The Staff"
105. Principles of Computer Systems Design. W,"Covers the principles governing computer-systems design and complexity; familiarity with memory, storage, and networking; concurrency and synchronization; layering (abstraction and modularity); naming; client-server and virtualized system models; and performance. Requires significant programming projects demonstrating mastery of these concepts. Prerequisite(s): courses 12 and 12L; and either CMPE 13 and 13L, or CMPS 12B and 12M; and knowledge of C programming language. G. Elkaim, E. Miller"
"107. Probability and Statistics for Engineers. W,S","Introduction to fundamental tools of stochastic analysis. Probability, conditional probability; Bayes Theorem; random variables and transforms; independence; Bernnoulli trials. Statistics, inference from limited data; outcomes of repeated experiments; applications to design; assessment of relative frequency and probability; law of large numbers; precision of measurements. Elements of stochastic processes, Poisson processes; Markov chains. Students cannot receive credit for this course and Applied Mathematics and Statistics 131. (Formerly Mathematical Methods of Systems Analysis: Stochastic.) Prerequisite(s): course 16 or 16H and Mathematics 22 or 23A. (General Education Code(s): SR.) M. Teodorescu, J. Garcia-Luna-Aceves"
108. Data Compression. *,"Basics of information theory, lossless coding (Huffman coding, arithmetic coding, dictionary coding), lossy coding (PCM, predictive coding, transform coding). Application to the compression of specific data set, which may include biological time series, DNA sequences, and multimedia streams. Programming experience is required. Prerequisite(s): course 107 or Applied Mathematics and Statistics 131. The Staff "
"110. Computer Architecture. F,W,S","Introduction to computer architecture including examples of current approaches and the effect of technology and software. Computer performance evaluation, basic combinatorial and sequential digital components, different instruction set architectures with a focus on the MIPS ISA and RISC paradigm. Evolution of CPU microarchitecture from single-cycle to multi-cycle pipelines, with overview of super-scalar, multiple-issue and VLIW. Memory system, cache, virtual memory and relationship between memory and performance. Evolution of PC system architecture. May include advanced topics, such as parallel processing, MIMD, and SIMD. Prerequisite(s): courses 12/L, and courses 13/L or Computer Science 12A/L or Computer Science 11. Course 16 recommended. The Staff, H. Litz, J. Renau Ardevol, E. Miller"
112. Computer and Game Console Architecture. *,"Introduces computer and game console architecture, including examples of current approaches and the effect of technology and software. Computer performance evaluation; instruction-set architectures; RISC CPU and pipelining; cache and memory; multi-core, system-level architecture; video card; special console architectures. Pre-requisite(s): course 12. The Staff "
113. Parallel and Concurrent Programming. *,"Introduction to parallel and concurrent programming. Topics include: types of parallel computers and programming platforms; design, implementation, and optimization of programs for parallel and multicore processors; basic and advanced programming techniques; performance analysis and load balancing; and selected parallel algorithms. (Also offered as Computer Science 113. Students cannot receive credit for both courses.) Prerequisite(s): Computer Engineering 12 and 12L and Computer Science 101. Computer Engineering 110 or 112 recommended. The Staff "
114. Embedded Operating Systems. *,"Detailed exploration of the internal design of an embedded operating systems kernel. Covers kernel structure and organization, device drivers, I/O systems, file systems, memory management, and security. Students complete significant programming projects that extend or modify existing operating systems. Prerequisite(s): courses 105 and 110. Enrollment limited to 50. D. Long, E. Miller"
115. Introduction to Solid Mechanics. *,"Introduces the solid mechanics of materials. Topics include: stress and strain, torsion, bending of beams, shearing stresses in beams, compound stresses, principal stresses, deflections of beams, and statically indeterminate members and columns. Prerequisite(s): course 9 and Mathematics 19B, and Applied Mathematics and Statistics 10 or Mathematics 21. M. Teodorescu "
"118. Introduction to Mechatronics. F,S","Technologies involved in mechatronics (intelligent electro-mechanical systems) and techniques necessary to integrate these technologies into mechatronic systems. Topics include electronics (A/D, D/A converters, opamps, filters, power devices), software program design (event-driven programming, state machine-based design), DC and stepper motors, basic sensing, and basic mechanical design (machine elements and mechanical CAD). Combines lab component of structured assignments with a large and open-ended team project. Cannot receive credit for this course and course 218. Prerequisite(s): Electrical Engineering 101/L and courses 12/L and 100/L. Concurrent enrollment in course 118L is required. Enrollment limited to 36. G. Elkaim, M. Wehner, M. Dunne"
118L. Introduction to Mechatronics Laboratory (2 credits). F,"Laboratory sequence illustrating topics covered in course 118. Two 2-hour laboratory sessions per week. Students cannot receive credit for this course and course 218L. Students are billed a materials fee. Prerequisite(s): Concurrent enrollment in course 118 is required. Enrollment limited to 36. G. Elkaim, M. Wehner, M. Dunne"
"121. Microprocessor System Design. F,S","The design and use of microprocessor-based systems. Covers microprocessor and microcontroller architecture, programming techniques, bus and memory organization, DMA, timing issues, interrupts, peripheral devices, serial and parallel communication, and interfacing to analog and digital systems. Prerequisite(s): courses 12/L and 100/L; and 13/L or Computer Science 12B/M; and EE 101/L and Physics 5C/N. Concurrent enrollment in course 121L required. Enrollment is restricted to Computer Engineering and Robotics majors during first-pass enrollment. Enrollment limited to 40. A. Varma "
