200. Research and Teaching in Computer Science and Engineering (3 credits). F,"Basic teaching techniques for teaching assistants, including responsibilities and rights of teaching assistants, resource materials, computer security, leading discussion or lab sessions, presentation techniques, maintaining class records, electronic handling of homework, and grading. The course examines research and professional training, including use of the library and online databases, technical typesetting, writing journal and conference papers, publishing in computer science and computer engineering, giving talks in seminars and conferences, and ethical issues in science and engineering. Required for all teaching assistants. Enrollment is restricted to graduate students. The Staff, A. Pang, K. Obraczka"
"201. Analysis of Algorithms. F,W","Rigorous analysis of the time and space requirements of important algorithms, including worst case, average case, and amortized analysis. Techniques include order-notation, recurrence relations, information-theoretic lower bounds, adversary arguments. Analysis of the key data structures: trees, hash tables, balanced tree schemes, priority queues, Fibonacci and binomial heaps. Algorithmic paradigms such as divide and conquer, dynamic programming, union-find with path compression, augmenting paths. Selected advanced algorithms. Introduction to NP-completeness. Enrollment is restricted to graduate students; undergraduate students may enroll in this course if they have completed either course 102 or Computer Engineering 177 and have the consent of the instructor. The Staff, P. Tantalo, D. Achlioptas, D. Helmbold, A. Van Gelder"
203. Programming Languages. S,"Covers current issues in programming languages. Language topics include object oriented, concurrent, functional, and logic programming, and other programmable applications such as symbolic manipulators and simulation. Enrollment is restricted to graduate students; undergraduate students may enroll for this course if they have completed course 112 and have the consent of the instructor. The Staff, A. Van Gelder, C. Flanagan"
204. Compiler Design. *,"Advanced study of compiler implementation. Topics include compiler structure back end, run-time environments, storage management, garbage collection, register allocation, code generation, basic blocks, control flow, data flow, local and global optimization, interpretation, machine code generation. Students may not receive credit for this course and course 104B. Taught in conjunction with 104B. Prerequisite(s): course 104A or equivalent. Enrollment is restricted to graduate students. W. Mackey "
210. Computational Models and Complexity. *,"Finite automata and regular expressions, universal models of computation, computability and unsolvability, relations between complexity classes, hierarchy theorems, reductions, complete problems for the major complexity classes (L, NL, P, NP, PSPACE). Other topics may include complexity of counting and enumeration problems, complexity of approximation, randomized complexity classes. Prerequisite(s): course 201. M. Warmuth, S. Comandur, D. Helmbold, P. Kolaitis"
211. Combinatorial Algorithms. W,"Fundamental combinatorial algorithms, graph algorithms, flow problems, matching problems, linear programming, integer programming, NP-completeness, approximation algorithms for optimization problems. Prerequisite(s): course 201. A. Van Gelder, D. Achlioptas, P. Kolaitis"
217. Logic in Computer Science. F,"The applications and uses of formal systems to computer science. Covers the syntax and semantics of propositional logic and first-order logic, normal forms, soundness and completeness theorems, Herbrand's theorem, unification and resolution, foundations of logic programming, automated theorem proving. Other topics may include deductive databases, database query languages, nonmonotonic reasoning. Enrollment is restricted to graduate students. P. Kolaitis, A. Van Gelder"
218. Foundations of Data Science. S,"Examines the mathematical and algorithmic foundations of data science including high dimensional data, probabilistic inequalities, dimensionality reduction, correlation detection, streaming algorithms, and clustering. Prerequisite(s): course 201. Enrollment is restricted to graduate students. D. Achlioptas, The Staff"
221. Advanced Operating Systems. *,"A detailed study of the issues involved in operating systems design and implementation. Readings cover current research topics and systems of historical significance. Topics include (but are not restricted to) process and memory management, protection, security, synchronization, performance evaluation, file systems, distributed systems. Enrollment is restricted to graduate students; undergraduates by interview only. D. Long, E. Miller"
223. Advanced Computer Security. F,"Overview of research topics in computer and network security. Topics may include cryptographic operations, security properties and policies, authentication and access control, attacks on computer systems and defenses against them, security in programming languages, and network protocols for security. Enrollment is restricted to graduate students or consent of instructor. E. Miller, O. Arden, D. Long"
229. Storage Systems. S,"Topics include storage devices, storage architectures, local file systems, high-performance file systems, and next-generation storage devices and architectures; covers issues of performance, reliability, scalability, robustness, and security. Enrollment is restricted to graduate students. E. Miller, C. Maltzahn, D. Long"
232. Distributed Systems. S,"Overview of research topics in distributed computer systems. Topics may include communication paradigms, process management, naming, synchronization and coordination, consistency and replication, fault tolerance, and security. Examples include distributed operating systems, distributed file and object systems, distributed document systems, and peer-to-peer systems. Enrollment is restricted to graduate students. E. Miller, P. Alvaro, C. Maltzahn, D. Long"
236. Understanding Cryptography. *,"Cryptography has become ubiquitous, from light bulbs to atomic weapons. This course provides both a comprehensive introduction to applied cryptography and an additional focus on the human issues caused by bad implementations, bad processes, and broken algorithms. Knowledge of C Programming, Linux, and Virtual machines is required. (Also offered as Computer Engineering 236. Students cannot receive credit for both courses.) Prerequisite(s): course 201. Enrollment is restricted to graduate students. D. Long "
240. Artificial Intelligence. W,"Prepares students for doing research in artificial intelligence. Major topics covered are search and heuristics, knowledge representation, planning, deduction and inference, reinforcement learning, associative pattern retrieval, and adaptive search. Discussion includes current research issues in AI problem-solving methods. Individualized projects. Enrollment limited to 30. The Staff, N. Norouzi, M. Walker"
241. Knowledge Engineering. *,"Introduction to the acquisition, representation, and application of knowledge in expert systems. Topics include production systems, backward and forward chaining, dependency-directed backtracking, reasoning with uncertainty, certainty factors, fuzzy systems, knowledge representation (rules, frames, and semantic nets), inference engines, and metaknowledge. Discussion includes current research issues in adaptive expert systems. Involves one major project. Undergraduates may enroll in this course if they have completed course 140. The Staff "
