2. Computer Literacy. *,"Introduction to how computers work and how to use them. Topics covered include network information systems, text editors, formatting, file and directory system, spreadsheets and databases. Computers as symbol manipulation devices. Introduction to programming concepts and computer languages. Impact of computers on society. Designed for students with little or no experience using computers. Preference is given to students who have not taken other computer engineering or computer science courses. Students cannot receive credit for this course and Computer Engineering 3. (General Education Code(s): PE-T.) The Staff "
5C. Introduction to Programming in C/C++. *,"Students learn programming and documentation skills as well as algorithmic problem-solving and programming methodologies. Introduces computers, compilers, and editors. Students write small to medium-sized programs. No prior programming experience required, but a mathematics background at the pre-calculus level is assumed. This course and courses 5J and 5P cover similar concepts, but use different programming languages. This course is recommended for students that have a specific desire or need to learn C/C++; others are encouraged to consider taking course 5P or 5J which use languages that provide a gentler introduction to programming. (General Education Code(s): MF.) D. Long "
"5J. Introduction to Programming in Java. F,W,S","Introduces programming in Java for students who have no prior programming experience. Students learn programming and documentation skills, as well as algorithmic problem-solving, and programming methodologies. Introduces computers, compilers, and editors. Students write small to medium-sized programs. This course and courses 5C and 5P cover similar concepts, but use different programming languages. Because 5J followed by course 11 is a two-quarter alternative to the accelerated course 12A/L, engineering majors and students planning on continuing the programming sequence are encouraged to take 5J rather than 5C or 5P. Students may not receive credit for 5J taken concurrently or subsequently to course 12A, 12B, or Computer Engineering 13. (General Education Code(s): MF.) The Staff, D. Bailey, F. Nawab, D. Helmbold, P. Tantalo"
"5P. Introduction to Programming in Python. F,W,S","Introduces programming in Python, a high-level programming language used in the physical and social sciences and for Internet scripting. Students learn programming and documentation skills, as well as algorithmic problem-solving, coding, and debugging methodologies. Students write programs to solve sample problems drawn from a wide range of disciplines, primarily in the sciences. No prior programming experience is required, but a mathematics background at the pre-calculus level is assumed. This course and courses 5C and 5J cover similar concepts, but use different programming languages. Students may not receive credit for course 5P after receiving credit for course 11, 12A, or Computer Engineering 13. Students may not enroll in or receive credit for course 5P after receiving credit with a 'C' or better in course 11, 12A, or Computer Engineering 13. (General Education Code(s): MF.) The Staff, P. Tantalo, P. Alvaro, D. Long, E. Miller"
10. Introduction to Computer Science. F,"An overview of the theory, foundations, and practice of computer science with emphasis on what computers can and cannot do, now and in the future. Topics include algorithms and data, correctness and efficiency of algorithms, hardware, programming languages, limitations of computation, applications, and social issues. No programming skills are required as a prerequisite. Major concepts and open problems in computer science are presented without reliance on sophisticated mathematical tools. Students cannot receive credit for this course after completing course 12B. (General Education Code(s): MF.) The Staff, M. Walker, D. Achlioptas, P. Tantalo"
"11. Intermediate Programming. F,W,S","Continuation of course 5J. Covers basic object-oriented programming, event-driven programming, graphical user interface (GUI) creation, recursion, two-dimensional arrays. The two-quarter sequence courses 5J and 11 cover in two quarters the same material as the accelerated introductory course and lab 12A/L cover in one quarter. Students cannot receive credit this course and course 12A. Prerequisite(s): course 5J, and Mathematics 3 or 11A or 19A or Applied Mathematics and Statistics 3 or Applied Mathematics and Statistics/Economics 11A or a score of 400 or higher on the mathematics placement examination (MPE). (General Education Code(s): MF.) The Staff, N. Norouzi, P. Tantalo"
"12A. Introduction to Programming (Accelerated). F,W,S","Accelerated introduction to programming. Students write medium-sized programs. Topics include: functions; conditionals and loops; classes; event-driven programming and graphic user interfaces (GUIs); recursion; and arrays. Students who have no or very limited programming experience should consider courses 5J and 11 which cover the same material in two quarters. Students may not receive credit for both this course and course 11. Some prior programming experience in a language such as C, C++, Java, or C# strongly recommended. Prerequisite(s): Mathematics 3 or 11A or 19A or Applied Mathematics and Statistics 3 or Applied Mathematics and Statistics/Economics 11A, or a score of 400 or higher on the mathematics placement examination (MPE). Concurrent enrollment in 12L required. The Staff, D. Bailey, W. Mackey, N. Norouzi, C. Flanagan, A. Pang, D. Helmbold, D. Long"
"12B. Introduction to Data Structures. F,W,S","Teaches students to implement common data structures and the algorithms associated with each data structure, through progressively difficult exercises. Topics include big ""O"" notation; pointers, recursion (induction), and dynamic allocation; linked lists and list processing; stacks, queues, binary trees and binary search trees; simple sorting techniques and simple search techniques. Students will gain a working knowledge of the elements of the Java and C programming languages. Prior experience with Unix is assumed. Prerequisite(s): course 11 or 12A or Computer Engineering 13. Concurrent enrollment in course 12M is required. (General Education Code(s): MF.) The Staff, P. Tantalo, S. Comandur, D. Long, W. Mackey"
"12L. Computer Programming Laboratory (2 credits). F,W,S","Laboratory sequence complementing topics taught in course 12A by providing training and exposure to several software development tools and practices not covered in course 12A. In addition, the lab provides an initial exposure to a second programming language to reinforce concepts from course 12A. Prerequisite(s): Concurrent enrollment in course 12A is required. The Staff, D. Bailey, W. Mackey, D. Helmbold, C. Flanagan, A. Pang, D. Long"
"12M. Data Structures Laboratory (2 credits). F,W,S","Complements course 12B, gaining additional competence with a number of important software development tools, languages, and techniques. Included are advanced Unix features and utilities such as grep, find, diff, the shell, and pipes; C programs utilizing I/O, arrays, pointers, and structures; a scripting language to perform simple text and file manipulation; and the make utility. Concurrent enrollment in course 12B is required. The Staff, P. Tantalo, S. Comandur, D. Long, W. Mackey"
