"100. Research Methods in Psychology (7 credits). F,W,S","An introduction to research methods used to investigate human psychology. Course emphasizes critical thinking, designing and conducting research, analyzing and interpreting data, and writing a professional research report. Prerequisite(s): Entry Level Writing and Composition requirements; Applied Mathematics and Statistics 2 or 3 or 6, or Mathematics 3 or higher level Mathematics course; and course 2 or Applied Mathematics and Statistics 5 or 7/7L. (F) L. Takayama, (W) B. Storm, (S) R. Covarrubias "
101. Topics in Developmental Psychology. *,"These topics, offered at different times by different instructors, examine selected topics in developmental psychology. (Formerly course 100.) The Staff "
102. Adolescent Development: Adolescence into Young Adulthood. S,"Focuses on individual and relational development from early adolescence into emergin adulthood. Emphasis on the mutual influences of family relationships and adolescent development, and on the interface of family, peer group, and school experience in cultural contexts. Prerequisite(s): courses 10 and 100. M. Azmitia "
103. Adult Development and Aging. S,"Overview of the cultural, societal, biological, interpersonal, and cognitive processes of adult development and aging. Class discusses how each of these contexts and processes promotes stability and change as adults experience adulthood, reflect on their lives, and prepare for death. Prerequisite(s): courses 3 or 100 and course 10. M. Azmitia "
104. Development in Infancy. W,"Focuses on psychological development in infancy. Presents research on perceptual, cognitive, and social-emotional development during the first two years of life. (Formerly course 101.) Prerequisite(s): courses 3 or 100, and 10. Enrollment is restricted to psychology and cognitive science majors. N. Akhtar "
105. Children's Thinking. S,Cognition in children from infancy through adolescence. Basic and current research on children's understanding of the social and physical world. Focus on major theoretical perspectives: especially Piaget's constructivist approach and sociocultural approach. Prerequisite(s): courses 10 and 100. Enrollment is restricted to psychology and cognitive science majors and minors. M. Callanan 
106. Social and Emotional Development. *,An examination of contemporary theory and research on social and emotional development from infancy through childhood. Prerequisite(s): courses 10 and 100. C. Leaper 
107. Gender and Development. *,"Examines the developmental psychology of gender in childhood and adolescence. Prerequisite(s): course 3 or 100, and course 10. Enrollment is restricted to psychology majors. C. Leaper "
108. Educational Psychology. *,"An overview of psychological theories and principles applied to formal and informal educational settings. Topics include: learning, motivation, cultural diversity, individual differences, and assessment. Students complete a research project. Prerequisite(s): courses 10 and 100. C. Byrd "
112. Moral Development. F,"How and why do children develop into moral beings? This course covers key theories and empirical research about the cognitive, emotional, and behavioral aspects of moral development, including psychoanalytic, behaviorist, constructivist, nativist, and evolutionary approaches. Prerequisite(s): courses 10 and 100. A. Dahl "
114. Human Development as a Cultural Process. F,"Examines interdisciplinary theory, research, and methods of studying the cultural basis of human development, and variations and similarities in human lives and practices in the United States and worldwide cultural communities. Prerequisite(s): courses 10 and 100. (General Education Code(s): CC.) B. Rogoff "
115. Lifespan Developmental Psychopathology. S,"Examines theory and research on developmental psychopathology. Emphasizes the origin and longitudinal course of disordered behavior. Explores the processes underlying continuity and change in patterns of adaptation and age-related changes in manifestations of disorders. Prerequisite(s): courses courses 3 or 100, 10, and 170. K. Cardilla "
